30
7321
1 3
676 4 0
717.532 -0.122122 1
717.529 -0.131766 2
1 4
964 4 0
993.8 0.467546 1
993.8 0.467558 2
1021.59 -0.485611 3
1 4
1108 4 0
1132.05 0.653221 1
1132.05 0.649844 2
1156.32 0.334246 3
1 3
1156 4 0
1179.44 0.801286 1
1179.43 0.807405 2
1 4
516 12 0
559.375 7.36535 1
559.375 7.36578 2
601.589 3.29031 3
1 4
524 12 0
567.324 7.39555 1
567.323 7.39549 2
609.514 3.3283 3
1 4
556 12 0
599.297 7.40824 1
599.288 7.40122 2
641.02 3.60601 3
1 5
580 12 0
623.261 7.6853 1
623.248 7.68296 2
664.836 3.79757 3
704.365 -0.221281 4
1 5
604 12 0
647.324 7.67331 1
647.314 7.67355 2
688.523 3.90273 3
728.257 -0.111389 4
1 5
692 12 0
732.736 8.07034 1
732.736 8.06454 2
770.844 4.42416 3
807.575 0.397337 4
1 5
700 12 0
740.108 7.93784 1
740.108 7.93668 2
777.98 4.3077 3
814.53 0.325273 4
1 5
716 12 0
755.359 7.90898 1
755.359 7.90891 2
792.47 4.45494 3
828.109 0.773327 4
1 5
724 12 0
763.154 7.89508 1
763.154 7.89501 2
800.184 4.46093 3
835.194 0.862945 4
1 5
756 12 0
793.186 7.75928 1
793.186 7.75929 2
827.918 4.1965 3
860.542 0.237955 4
1 5
788 12 0
823.885 8.1185 1
823.885 8.1185 2
858.293 4.60512 3
890.64 0.820091 4
1 5
796 12 0
831.346 8.2794 1
831.346 8.2794 2
865.355 4.90621 3
897.459 1.24261 4
1 5
804 12 0
838.96 8.29286 1
838.96 8.29286 2
872.855 4.96315 3
904.821 1.32166 4
1 5
812 12 0
846.777 8.25126 1
846.777 8.25126 2
880.497 4.90587 3
912.433 1.25297 4
1 5
852 12 0
886.641 8.17275 1
886.641 8.17264 2
919.253 4.68464 3
950.995 1.00294 4
1 5
884 12 0
918.259 8.27523 1
918.259 8.27478 2
950.217 5.13195 3
980.964 1.628 4
1 5
892 12 0
926.05 8.39537 1
926.05 8.39537 2
957.937 5.24603 3
988.441 1.80859 4
1 5
908 12 0
941.673 8.60646 1
941.673 8.60628 2
973.315 5.46406 3
1003.09 2.18334 4
1 6
916 12 0
949.333 8.62365 1
949.333 8.62363 2
980.419 5.61407 3
1009.76 2.48989 4
1037.79 -0.22588 5
1 6
932 12 0
963.757 8.46947 1
963.757 8.46947 2
993.763 5.60238 3
1022.43 2.9151 4
1050.18 0.286972 5
1 9
940 12 0
971.596 8.46425 1
971.596 8.46425 2
1001.32 5.74972 3
1029.27 3.62204 4
1056.13 2.44154 5
1081.72 0.420413 6
1105.78 -0.0629929 7
1105.78 -0.0629908 8
1 11
948 12 0
979.305 8.47861 1
979.305 8.47861 2
1008.19 6.30922 3
1035.84 4.30231 4
1062.21 3.7317 5
1087.22 2.45597 6
1111.15 1.99361 7
1111.15 1.99362 8
1133.48 1.43268 9
1154.87 1.29195 10
1 10
996 12 0
1023.33 8.48026 1
1023.33 8.48025 2
1049.39 5.88642 3
1073.13 3.79446 4
1097.15 3.54986 5
1119.59 1.7842 6
1142.26 1.66486 7
1142.26 1.66493 8
1163.39 1.4089 9
1 5
1012 12 0
1039.03 8.41719 1
1039.03 8.4172 2
1064.87 5.84741 3
1088.14 3.82107 4
1 13
1068 12 0
1093.78 8.08376 1
1093.78 8.08377 2
1118.67 7.12765 3
1140.86 4.04959 4
1163.15 3.61266 5
1183.46 1.71688 6
1203.22 1.3532 7
1203.22 1.35319 8
1221.1 1.24123 9
1239.26 0.972593 10
1255.15 0.757877 11
1269.61 0.114986 12
1 9
1140 12 0
1163.68 8.83937 1
1163.68 8.84059 2
1186.55 7.10094 3
1208.59 4.02704 4
1229.31 3.05497 5
1247.81 2.68447 6
1266.55 1.04306 7
1266.55 1.04306 8
1 8
1148 12 0
1171.63 8.84003 1
1171.63 8.844 2
1194.24 6.65685 3
1216.27 3.58148 4
1236.89 2.34687 5
1255.32 1.94373 6
1274.02 0.269627 7
1 6
164 20 0
225.173 14.3826 1
225.173 14.3826 2
284.264 9.43595 3
339.82 5.06145 4
395.17 1.10682 5
1 6
300 20 0
351.764 14.578 1
351.764 14.578 2
401.845 10.263 3
449.605 5.37269 4
496.678 2.90372 5
1 7
452 20 0
496.595 15.4297 1
496.595 15.43 2
539.683 11.6597 3
581.678 7.46498 4
621.422 4.50127 5
660.618 1.06864 6
1 7
460 20 0
503.93 15.4135 1
503.93 15.4136 2
546.951 11.624 3
588.904 7.40622 4
628.206 4.40722 5
667.318 0.957705 6
1 7
476 20 0
519.664 15.4104 1
519.664 15.4104 2
562.409 11.5626 3
604.159 7.30233 4
643.401 4.26331 5
682.155 0.787643 6
1 7
484 20 0
527.573 15.3149 1
527.573 15.3154 2
570.149 11.3582 3
611.714 7.09761 4
650.957 4.02851 5
689.599 0.534695 6
1 7
588 20 0
631.343 15.5074 1
631.33 15.5067 2
673.09 11.5864 3
712.75 7.59401 4
751.587 4.46779 5
787.763 1.16485 6
1 7
596 20 0
639.325 15.635 1
639.313 15.6351 2
680.963 11.726 3
720.668 7.73816 4
759.431 4.57846 5
795.586 1.29971 6
1 7
612 20 0
655.316 15.6511 1
655.308 15.6499 2
696.695 11.8999 3
736.489 7.78757 4
775.084 4.603 5
811.158 1.37878 6
1 9
628 20 0
671.265 15.5677 1
671.259 15.567 2
712.572 11.719 3
752.361 7.59322 4
790.82 4.41559 5
826.786 1.21558 6
861.198 0.285412 7
861.197 0.284224 8
1 9
636 20 0
679.217 15.5098 1
679.213 15.5078 2
720.398 11.6658 3
760.173 7.53777 4
798.529 4.35607 5
834.446 1.16121 6
868.81 0.207193 7
868.809 0.207074 8
1 7
692 20 0
732.724 15.9249 1
732.724 15.9239 2
770.846 12.2421 3
807.555 8.20707 4
843.185 4.97891 5
876.499 1.64133 6
1 7
700 20 0
740.11 15.8846 1
740.11 15.8845 2
777.966 12.2689 3
814.522 8.29118 4
849.088 5.2082 5
882.293 1.89774 6
1 7
708 20 0
747.598 15.8437 1
747.598 15.8436 2
785.092 12.3005 3
821.312 8.45433 4
855.778 5.37671 5
888.774 2.05257 6
1 9
724 20 0
763.178 15.8277 1
763.178 15.8273 2
800.226 12.382 3
835.235 8.74684 4
869.212 5.67832 5
901.587 2.46579 6
932.182 -0.380992 7
932.182 -0.380992 8
1 9
732 20 0
770.616 15.7673 1
770.614 15.7661 2
807.617 12.3191 3
842.162 8.65356 4
876.05 5.59404 5
908.355 2.37639 6
938.81 -0.444053 7
938.81 -0.444054 8
1 9
788 20 0
823.887 16.0098 1
823.887 16.0098 2
858.371 12.5176 3
890.721 8.71913 4
921.778 6.31678 5
950.841 3.23591 6
979.425 2.00105 7
979.414 1.99246 8
1 10
796 20 0
831.552 16.0429 1
831.552 16.0429 2
865.553 12.6683 3
897.644 8.94053 4
928.313 6.70798 5
957.36 3.62348 6
985.561 2.52803 7
985.549 2.51797 8
1012.24 -0.333911 9
1 10
804 20 0
839 16.1165 1
839 16.1165 2
872.923 12.7713 3
904.897 9.08486 4
935.166 6.87264 5
964.052 3.78717 6
991.901 2.56064 7
991.89 2.54966 8
1018.13 -0.28738 9
1 9
812 20 0
846.769 16.1684 1
846.769 16.1684 2
880.469 12.8417 3
912.398 9.16123 4
942.504 6.90318 5
970.826 3.84885 6
998.107 2.04027 7
998.098 2.03073 8
1 5
852 20 0
886.628 16.1624 1
886.628 16.1623 2
919.204 12.6768 3
950.931 8.97258 4
1 9
884 20 0
918.231 16.2849 1
918.229 16.2825 2
950.182 13.101 3
980.875 9.56525 4
1010 6.76075 5
1036.96 3.62788 6
1063.13 1.83007 7
1063.13 1.83007 8
1 9
892 20 0
925.982 16.4301 1
925.981 16.4295 2
957.845 13.2473 3
988.235 9.76009 4
1017.24 6.91723 5
1043.57 3.88079 6
